IMSS Item Identifier,Title,Subject(s),Object Type,Object Type,Object Type,Material,Material,Material,Material,Material, , ,
urn:imss:instrument:405044,+Gregorian telescope@en, astronomy; optics, telescopes, ,leather ,steel ,brass, , , , , ,
urn:imss:instrument:401120,+Gunner's caliper@en, geometry, scientific instruments, calipers , ,brass, , , , , , ,
urn:imss:instrument:401121,+Gunner's caliper@en, geometry, scientific instruments, calipers , ,brass, , , , , , ,
urn:imss:instrument:403005,+Gunner's calliper@en, geometry, scientific instruments, , calipers ,brass, , , , , , ,
urn:imss:instrument:402025,+Gunner's level@en, geometry, scientific instruments , , ,silver ,brass, , , , , ,
urn:imss:instrument:401118,+Gunner's quadrant@en, geometry, scientific instruments, squares , ,steel, , , , , , ,
urn:imss:instrument:401117,+Gunner's quadrant@en, geometry, scientific instruments, squares , ,brass, , , , , , ,
urn:imss:instrument:401089,+Gunner's quadrant@en, geometry, scientific instruments, squares , ,brass, , , , , , ,
urn:imss:instrument:402003,+Gunner's rule@en, geometry, scientific instruments, scales , ,brass, , , , , , ,
urn:imss:instrument:401109,+Gunner's sight and level@en, geometry, scientific instruments , , ,brass, , , , , , ,
urn:imss:instrument:401110,+Gunner's sight and level@en, geometry, scientific instruments , , ,silver ,brass, , , , , ,
urn:imss:instrument:401108,+Gunner's sight and level@en, geometry, scientific instruments , , ,brass, , , , , , ,
urn:imss:instrument:414038,+Henley quadrant electrometer@en, electrical engineering, electrometers , , ,ivory ,boxwood ,brass, , , , ,
urn:imss:instrument:414037,+Henley quadrant electrometer@en, electrical engineering, electrometers , , ,ivory ,boxwood ,brass, , , , ,
urn:imss:instrument:414039,+Henley quadrant electrometer@en, electrical engineering, electrometers , , ,ivory ,boxwood ,brass, , , , ,
urn:imss:instrument:401026,+Horary disk@en, astronomy, timepieces , , ,brass, , , , , , ,
urn:imss:instrument:401034,+Horary disk@en, astronomy, timepieces , , ,brass, , , , , , ,
urn:imss:instrument:401027,+Horary disk@en, astronomy, timepieces , , ,brass, , , , , , ,
urn:imss:instrument:402049,+Horary quadrant@en, quadrants , , , ,brass, , , , , , ,
urn:imss:instrument:402006,+Horary quadrant@en, astronomy, quadrants , , ,wood ,leather ,brass, , , , ,
urn:imss:instrument:402015,+Horizontal dial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:403044,+Horizontal dial@en, astronomy, sundials , , ,boxwood, , , , , , ,
urn:imss:instrument:402072,+Horizontal dial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:402023,+Horizontal dial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:403025,+Horizontal dial@en, astronomy, sundials , , ,brass, , , , , , ,
urn:imss:instrument:403043,+Horizontal dial@en, astronomy, sundials , , ,boxwood, , , , , , ,
urn:imss:instrument:401059,+Hourglass@en, , hourglasses , , ,glass, , , , , , ,
urn:imss:instrument:401058,+Hourglass@en, , hourglasses , , ,glass, , , , , , ,
urn:imss:instrument:404013,+Inclined plane@en, mechanics, scientific instruments, machines , ,wood ,iron ,brass, , , , ,
urn:imss:instrument:403028,+Instrument of the Primum Mobile@en, mathematics;  geometry, scientific instruments , , ,brass, , , , , , ,
urn:imss:place:700117,+Istituto e Museo di Storia della Scienza@en, science, museums, research libraries, history;   research institutes, , , , , , , ,
urn:imss:instrument:404003,+Jovilabe@en, astronomy; optics, astronomical instruments , , ,brass, , , , , , ,
urn:imss:instrument:414036,+Kinnersley electrometer@en, electrical engineering, electrometers , , ,glass ,brass, , , , , ,
urn:imss:instrument:414127,+Kit of magneto-electric machine; Clarke pattern@en, electrical engineering, scientific instruments , , ,glass ,iron ,mahogany ,steel ,brass, , ,
urn:imss:instrument:414030,+Kundt and Cantoni electrical machine@en, electrical engineering, scientific instruments , , ,glass ,mahogany ,brass, , , , ,
urn:imss:instrument:405057,+Lady's telescopes@en, astronomy; optics, telescopes, , ,ivory ,wood, , , , , ,
urn:imss:instrument:414048,+Lane electrometer and Leyden jar on insulated support@en, electrical engineering, electrometers , , ,glass ,tinfoil ,mahogany ,brass, , , ,
urn:imss:instrument:414047,+Lane electrometer on Leyden jar@en, electrical engineering, electrometers , , ,glass ,tinfoil ,mahogany ,brass, , , ,
urn:imss:instrument:414046,+Lane electrometer@en, electrical engineering, electrometers , , ,mahogany ,brass, , , , , ,
urn:imss:instrument:404012,+Large armed lodestone@en, physical sciences, scientific instruments , , ,wood ,iron ,magnetite ,brass, , , ,
urn:imss:instrument:414013,+Large helical prime conductor@en, electrical engineering, scientific instruments , , ,gold ,wood ,glass ,foil, , , ,
urn:imss:instrument:414009,+Large rectangular lodestone@en, physical sciences, scientific instruments , , ,wood ,iron ,magnetite, , , , ,
urn:imss:instrument:414008,+Large spherical lodestone@en, physical sciences, scientific instruments , , ,iron ,copper ,magnetite ,brass ,lead, , ,
urn:imss:instrument:403018,+Level@en, geometry, surveying instruments, levels , ,glass ,brass, , , , , ,
urn:imss:instrument:416007,+Lever suspended at both ends@en, mechanics, scientific instruments, machines , ,wood ,iron ,brass, , , , ,
urn:imss:instrument:414059,+Leyden-jar electrode@en, electrical engineering, electrometers , , ,tinfoil ,brass,glass , , , , ,
urn:imss:instrument:414124,+Linesman detector@en, geography, galvanometers , , ,mahogany ,brass, , , , , ,
urn:imss:instrument:414028,+Long-spark plate electrical machine@en, electrical engineering, scientific instruments , , ,glass ,mahogany ,brass, , , , ,
urn:imss:instrument:414061,+Luminous discharge tubes@en, electrical engineering, scientific instruments , , ,glass ,tinfoil ,brass, , , , ,
urn:imss:instrument:416001,+Machine for experiments on the centrifugal force@en, mechanics, scientific instruments , , ,wood ,glass ,iron ,brass, , , ,
urn:imss:instrument:414007,+Magnetic cabinet@en, physical sciences, scientific instruments , , ,iron ,mahogany ,steel ,brass, , , ,
urn:imss:instrument:402081,+Magnetic compass@en, geometry, surveying instruments, compasses , ,brass, , , , , , ,
urn:imss:instrument:402014,+Magnetic compass@en, geometry, surveying instruments, compasses , ,brass, , , , , , ,
urn:imss:instrument:414143,+Magnetic declination compass@en, electrical engineering, declinometers , , ,slate ,steel ,brass, , , , ,
